RK,TEAM,W,L,T,SOS,PR
244,CAL STATE NORTHRIDGE,18,14,0,63.92,65.49
245,NORTH ALABAMA,15,17,0,65.49,65.35
246,WISCONSIN GREEN BAY,18,14,0,66.07,65.30
247,BUCKNELL,14,19,0,66.52,65.21
248,BINGHAMTON,15,15,0,65.88,65.17
249,NIAGARA,15,15,0,64.60,65.09
250,PEPPERDINE,13,20,0,67.28,65.08
251,CENTRAL CONNECTICUT ST.,20,11,0,60.83,65.08
252,PRESBYTERIAN COLLEGE,14,18,0,63.29,65.00
253,TEXAS SAN ANTONIO,11,20,0,67.98,64.98
254,NORTH FLORIDA,16,16,0,63.15,64.92
255,GEORGIA SOUTHERN,9,24,0,69.47,64.64
256,MIAMI OHIO,15,16,0,64.08,64.47
257,SOUTHERN MISSISSIPPI,16,16,0,66.38,64.31
258,TENNESSEE MARTIN,21,11,0,59.77,64.25
259,FLORIDA INTERNATIONAL,10,21,0,67.65,64.25
260,WOFFORD,17,15,0,64.58,64.22
261,SOUTHERN UTAH,10,21,0,66.67,64.20
262,WESTERN MICHIGAN,12,19,0,65.90,63.96
263,OLD DOMINION,7,25,0,70.18,63.96
264,NORTH DAKOTA,18,14,0,61.20,63.89
265,KENNESAW ST.,15,16,0,62.66,63.86
266,FLORIDA GULF COAST,14,18,0,64.99,63.79
267,ROBERT MORRIS,10,22,0,67.21,63.76
268,PORTLAND,12,21,0,70.66,63.70
269,WAGNER,15,15,0,61.39,63.56
270,NORTHERN ILLINOIS,11,20,0,67.09,63.52
271,NICHOLLS ST.,19,13,0,62.27,63.44
272,PORTLAND ST.,17,15,0,63.39,63.44
273,SOUTH ALABAMA,16,16,0,64.62,63.42
274,QUEENS NC,14,19,0,65.25,63.37
275,BOSTON UNIVERSITY,16,17,0,64.26,63.35
276,SACRED HEART,16,16,0,61.69,63.30
277,MISSOURI KANSAS CITY,16,16,0,62.38,63.30
278,SACRAMENTO ST.,10,23,0,65.29,63.24
279,SOUTH CAROLINA UPSTATE,10,20,0,65.13,63.08
280,NEW MEXICO ST.,13,18,0,66.06,63.07
281,WILLIAM & MARY,10,23,0,65.34,62.99
282,LE MOYNE,15,17,0,60.86,62.95
